Project Code,Target Name,RA,Dec,RA_HMS,Dec_DMS,Long Offset,Lat Offset,Velocity,Vel. Frame,Vel. Convention,Mosaic,Mos. Length,Mos. Width,Mos. PA,Mos. Spacing,Mos. Coord.,Band,Req. Ang. Res.,Req. LAS,Use 7-m?,Use TP?,Polarization,Ref.Frequency,Ref.Freq.Width,Req.Sensitivity,Is Sky Freq?,SPS Start Freq.,SPS End Freq.,SPS Bandwidth,SPS Spec. Res.,Freq SPW 1,Freq SPW 2,Freq SPW 3,Freq SPW 4,Freq SPW 5,Freq SPW 6,Freq SPW 7,Freq SPW 8,Freq SPW 9,Freq SPW 10,Freq SPW 11,Freq SPW 12,Freq SPW 13,Freq SPW 14,Freq SPW 15,Freq SPW 16,Bandwidth SPW 1,Bandwidth SPW 2,Bandwidth SPW 3,Bandwidth SPW 4,Bandwidth SPW 5,Bandwidth SPW 6,Bandwidth SPW 7,Bandwidth SPW 8,Bandwidth SPW 9,Bandwidth SPW 10,Bandwidth SPW 11,Bandwidth SPW 12,Bandwidth SPW 13,Bandwidth SPW 14,Bandwidth SPW 15,Bandwidth SPW 16,Spec.Res. SPW 1,Spec.Res. SPW 2,Spec.Res. SPW 3,Spec.Res. SPW 4,Spec.Res. SPW 5,Spec.Res. SPW 6,Spec.Res. SPW 7,Spec.Res. SPW 8,Spec.Res. SPW 9,Spec.Res. SPW 10,Spec.Res. SPW 11,Spec.Res. SPW 12,Spec.Res. SPW 13,Spec.Res. SPW 14,Spec.Res. SPW 15,Spec.Res. SPW 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00041.S,BetaPic_bottom,86.82042833,-51.067065,5h47m16.90s,-51d04m01.4s,0,2.29E-11,19.99933292,lsrk,RADIO,,,,,,,ALMA_RB_07,0.9,3,FALSE,FALSE,FULL,336.5,250,20,TRUE,,,,,350.5,348.5,338.5,336.5,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,62.5,62.5,62.5,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00041.S,BetaPic_ctr,86.82109167,-51.06634167,5h47m17.06s,-51d03m58.8s,0,2.29E-11,19.99933292,hel,RADIO,,,,,,,ALMA_RB_07,0.9,3,FALSE,FALSE,FULL,336.5,250,20,TRUE,,,,,350.5,348.5,338.5,336.5,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,62.5,62.5,62.5,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00041.S,BetaPic_top,86.82175458,-51.06561778,5h47m17.22s,-51d03m56.2s,0,2.29E-11,19.99933292,hel,RADIO,,,,,,,ALMA_RB_07,0.9,3,FALSE,FALSE,FULL,336.5,250,20,TRUE,,,,,350.5,348.5,338.5,336.5,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,62.5,62.5,62.5,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00061.S,MACS0416-JD,64.0480375,-24.08142389,4h16m11.53s,-24d04m53.1s,230572.5,-86691.1,294247.0358,lsrk,RELATIVISTIC,,,,,,,ALMA_RB_07,0.6,0.6,FALSE,FALSE,DOUBLE,329.5869871,31.25,0.35,FALSE,,,,,3553.028916,3535.432849,3428.821384,3411.225316,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS001.1,53.31025,-27.93736667,3h33m14.46s,-27d56m14.5s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS002.1,53.26120833,-27.94521111,3h33m02.69s,-27d56m42.8s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS003.1,53.33958333,-27.92230278,3h33m21.50s,-27d55m20.3s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS005.1,52.87045833,-27.98583889,3h31m28.91s,-27d59m09.0s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS006.1,53.23733333,-28.01685556,3h32m56.96s,-28d01m00.7s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS007.1,53.31425,-27.75675,3h33m15.42s,-27d45m24.3s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
